Número do Processo,Localização Atual,Foro,Vara,Controle,Classe,Assunto,Distribuição,reu_preso,Relatório Final,Denúncia,Defesa Prévia,Razões de Apelação,Contrarrazões de Apelação,Sigilo,e-SAJ
1502950-20.2026.8.26.0446,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000426,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2026-04-07,True,2026-03-24,2026-03-24,2026-05-20,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00004640000&processo.numero=1502950-20.2026.8.26.0446
1500445-82.2026.8.26.0599,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000354,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2026-03-27,True,2026-03-06,2026-03-06,2026-05-02,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004JWJ0000&processo.numero=1500445-82.2026.8.26.0599
1502888-77.2026.8.26.0446,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000271,Ação Penal - Procedimento Sumário,Ameaça,2026-03-05,False,2026-03-04,2026-03-06,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE000044B0000&processo.numero=1502888-77.2026.8.26.0446
1500442-30.2026.8.26.0599,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000259,Ação Penal - Procedimento Ordinário,Crime de Descumprimento de Medida Protetiva  de Urgência,2026-03-05,True,2026-03-04,2026-03-06,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004JWG0000&processo.numero=1500442-30.2026.8.26.0599
1500418-02.2026.8.26.0599,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000428,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-04-13,False,2026-03-16,2026-03-20,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004JVQ0000&processo.numero=1500418-02.2026.8.26.0599
1500423-24.2026.8.26.0599,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000258,Ação Penal - Procedimento Ordinário,Crime de Descumprimento de Medida Protetiva  de Urgência,2026-03-01,True,2026-03-04,2026-03-05,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004JVV0000&processo.numero=1500423-24.2026.8.26.0599
1502793-47.2026.8.26.0446,17º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000322,Ação Penal - Procedimento Ordinário,Roubo,2026-03-12,True,2026-03-06,2026-03-10,2026-03-20,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE000041C0000&processo.numero=1502793-47.2026.8.26.0446
1502637-59.2026.8.26.0446,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000307,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2026-03-12,True,2026-02-27,2026-03-02,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003WO0000&processo.numero=1502637-59.2026.8.26.0446
1502663-57.2026.8.26.0446,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000546,Ação Penal - Procedimento Ordinário,Adulteração de Sinal Identificador de Veículo Automotor,2026-05-07,False,2026-03-02,2026-04-13,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003XM0000&processo.numero=1502663-57.2026.8.26.0446
1502700-84.2026.8.26.0446,17º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000424,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2026-04-01,True,2026-03-20,2026-03-26,2026-05-25,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003YN0000&processo.numero=1502700-84.2026.8.26.0446
1502587-33.2026.8.26.0446,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000347,Ação Penal - Procedimento Ordinário,Crimes do Sistema Nacional de Armas,2026-03-19,True,2026-02-27,2026-03-02,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003V70000&processo.numero=1502587-33.2026.8.26.0446
1502602-02.2026.8.26.0446,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000387,Ação Penal - Procedimento Ordinário,Furto Qualificado,2026-03-27,True,2026-03-04,2026-03-09,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003VO0000&processo.numero=1502602-02.2026.8.26.0446
1502610-76.2026.8.26.0446,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000238,Ação Penal - Procedimento Ordinário,Crime de Descumprimento de Medida Protetiva  de Urgência,2026-02-25,True,2026-02-26,2026-02-27,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003VX0000&processo.numero=1502610-76.2026.8.26.0446
1502621-08.2026.8.26.0446,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000319,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2026-03-20,True,2026-03-10,2026-03-10,2026-04-14,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003W80000&processo.numero=1502621-08.2026.8.26.0446
1502630-67.2026.8.26.0446,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000254,Ação Penal - Procedimento Sumário,Ameaça,2026-02-27,False,2026-02-28,2026-03-02,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003WH0000&processo.numero=1502630-67.2026.8.26.0446
1503831-79.2026.8.26.0451,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000243,Ação Penal - Procedimento Ordinário,Grave,2026-02-27,False,,2026-03-06,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000XQVO0000&processo.numero=1503831-79.2026.8.26.0451
0000121-43.2026.8.26.0446,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000228,Ação Penal - Procedimento Ordinário,Decorrente de Violência Doméstica,2026-02-25,True,,2026-03-01,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003TH0000&processo.numero=0000121-43.2026.8.26.0446
1502525-90.2026.8.26.0446,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000333,Ação Penal - Procedimento Ordinário,Crimes de Trânsito,2026-03-24,True,2026-03-04,2026-03-06,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003T50000&processo.numero=1502525-90.2026.8.26.0446
1502527-60.2026.8.26.0446,17º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000338,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2026-03-17,False,2026-03-11,2026-03-12,2026-05-15,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003T70000&processo.numero=1502527-60.2026.8.26.0446
1502546-66.2026.8.26.0446,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000652,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-25,False,2026-04-23,2026-04-24,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003U00000&processo.numero=1502546-66.2026.8.26.0446
1502570-94.2026.8.26.0446,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000236,Ação Penal - Procedimento Ordinário,Lesão Cometida em Razão da Condição de Mulher,2026-02-26,True,2026-02-26,2026-03-02,2026-04-06,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003UQ0000&processo.numero=1502570-94.2026.8.26.0446
1500392-04.2026.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000482,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-04-22,False,2026-04-17,2026-04-14,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004JUY0000&processo.numero=1500392-04.2026.8.26.0599
1500394-71.2026.8.26.0599,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000196,Ação Penal - Procedimento Sumário,Ameaça,2026-02-23,False,2026-02-23,2026-02-27,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004JV00000&processo.numero=1500394-71.2026.8.26.0599
1500376-50.2026.8.26.0599,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000311,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2026-03-11,True,2026-02-24,2026-03-11,2026-03-30,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004JUI0000&processo.numero=1500376-50.2026.8.26.0599
1501441-39.2026.8.26.0451,13º Promotor de Justiça de Piracicaba,Foro de Piracicaba,Vara do Juizado Especial Cível e Criminal,2026/000129,Termo Circunstanciado,Resistência,2026-02-20,False,,2026-04-30,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000XOR10000&processo.numero=1501441-39.2026.8.26.0451
1502476-49.2026.8.26.0446,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000315,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2026-03-19,True,2026-02-25,2026-02-27,2026-04-06,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003RM0000&processo.numero=1502476-49.2026.8.26.0446
1502395-03.2026.8.26.0446,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000384,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2026-04-01,True,2026-03-11,2026-03-11,2026-05-18,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003P70000&processo.numero=1502395-03.2026.8.26.0446
1502463-50.2026.8.26.0446,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000316,Inquérito Policial,Falsificação de documento público,2026-03-19,True,2026-02-27,2026-03-02,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003R90000&processo.numero=1502463-50.2026.8.26.0446
1500627-27.2026.8.26.0451,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000193,Ação Penal - Procedimento Ordinário,Crimes de Trânsito,2026-02-18,False,2026-04-13,2026-04-14,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000XO5J0000&processo.numero=1500627-27.2026.8.26.0451
1500352-22.2026.8.26.0599,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000307,Ação Penal - Procedimento Ordinário,Roubo,2026-03-18,True,2026-02-26,2026-02-27,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004JTR0000&processo.numero=1500352-22.2026.8.26.0599
1500360-96.2026.8.26.0599,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000201,Ação Penal - Procedimento Ordinário,Leve,2026-02-18,False,2026-02-20,2026-02-23,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004JTZ0000&processo.numero=1500360-96.2026.8.26.0599
