Número do Processo,Localização Atual,Foro,Vara,Controle,Classe,Assunto,Distribuição,reu_preso,Relatório Final,Denúncia,Defesa Prévia,Razões de Apelação,Contrarrazões de Apelação,Sigilo,e-SAJ
1500929-97.2026.8.26.0599,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000645,Ação Penal - Procedimento Ordinário,Lesão Cometida em Razão da Condição de Mulher,2026-05-25,True,2026-05-25,2026-05-26,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004KBL0000&processo.numero=1500929-97.2026.8.26.0599
1500918-68.2026.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000643,Ação Penal - Procedimento Ordinário,Decorrente de Violência Doméstica,2026-05-25,True,2026-05-25,2026-05-26,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004KB80000&processo.numero=1500918-68.2026.8.26.0599
1507660-83.2026.8.26.0446,9º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/009775,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-22,True,2026-05-25,2026-05-27,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00008050000&processo.numero=1507660-83.2026.8.26.0446
1507701-50.2026.8.26.0446,9º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/009897,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-25,False,2026-05-27,2026-05-30,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE000081C0000&processo.numero=1507701-50.2026.8.26.0446
1507533-48.2026.8.26.0446,11º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/009646,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-20,True,2026-05-25,2026-05-27,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00007WH0000&processo.numero=1507533-48.2026.8.26.0446
1507460-76.2026.8.26.0446,9º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/009555,Inquérito Policial,Constrangimento ilegal,2026-05-19,True,2026-05-27,2026-05-30,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00007UC0000&processo.numero=1507460-76.2026.8.26.0446
1507262-39.2026.8.26.0446,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000624,Ação Penal - Procedimento Sumário,Leve,2026-05-19,True,2026-05-20,2026-05-21,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00007OD0000&processo.numero=1507262-39.2026.8.26.0446
1507268-46.2026.8.26.0446,6º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/009328,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-18,False,2026-05-25,2026-05-28,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00007OJ0000&processo.numero=1507268-46.2026.8.26.0446
1506866-47.2026.8.26.0451,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000623,Inquérito Policial,Extorsão,2026-05-28,True,2026-05-22,2026-05-22,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000XXLG0000&processo.numero=1506866-47.2026.8.26.0451
1506892-45.2026.8.26.0451,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000644,Termo Circunstanciado,Desacato,2026-05-25,False,,2026-05-25,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000XXN30000&processo.numero=1506892-45.2026.8.26.0451
1507205-21.2026.8.26.0446,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000605,Ação Penal - Procedimento Ordinário,Crime de Descumprimento de Medida Protetiva  de Urgência,2026-05-19,True,2026-05-15,2026-05-25,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00007MQ0000&processo.numero=1507205-21.2026.8.26.0446
1507117-80.2026.8.26.0446,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000715,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-29,True,2026-05-25,2026-05-27,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00007K90000&processo.numero=1507117-80.2026.8.26.0446
1507153-25.2026.8.26.0446,11º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/009207,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-14,False,2026-05-27,2026-05-29,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00007LA0000&processo.numero=1507153-25.2026.8.26.0446
1506997-37.2026.8.26.0446,7º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/009040,Auto de Prisão em Flagrante,Tráfico de Drogas e Condutas Afins,2026-05-12,False,,2026-05-13,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00007GU0000&processo.numero=1506997-37.2026.8.26.0446
1507023-35.2026.8.26.0446,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000617,Ação Penal - Procedimento Ordinário,Crime de Descumprimento de Medida Protetiva  de Urgência,2026-05-13,True,2026-05-15,2026-05-19,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00007HK0000&processo.numero=1507023-35.2026.8.26.0446
1506840-64.2026.8.26.0446,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000656,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-26,True,2026-05-20,2026-05-20,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00007C80000&processo.numero=1506840-64.2026.8.26.0446
1506899-52.2026.8.26.0446,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000655,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-20,True,2026-05-15,2026-05-18,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00007DX0000&processo.numero=1506899-52.2026.8.26.0446
1506942-86.2026.8.26.0446,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000600,Ação Penal - Procedimento Ordinário,Crime de Descumprimento de Medida Protetiva  de Urgência,2026-05-12,True,2026-05-13,2026-05-13,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00007F40000&processo.numero=1506942-86.2026.8.26.0446
1500853-73.2026.8.26.0599,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000595,Ação Penal - Procedimento Ordinário,Crime de Descumprimento de Medida Protetiva  de Urgência,2026-05-11,True,2026-05-11,2026-05-12,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K9D0000&processo.numero=1500853-73.2026.8.26.0599
1500834-67.2026.8.26.0599,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000586,Ação Penal - Procedimento Ordinário,Lesão Cometida em Razão da Condição de Mulher,2026-05-11,False,2026-05-12,2026-05-12,2026-05-14,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K8R0000&processo.numero=1500834-67.2026.8.26.0599
1500838-07.2026.8.26.0599,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000607,Ação Penal - Procedimento Ordinário,Furto,2026-05-22,True,2026-05-15,2026-05-19,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K8V0000&processo.numero=1500838-07.2026.8.26.0599
1506758-33.2026.8.26.0446,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000618,Ação Penal - Procedimento Ordinário,Roubo,2026-05-22,True,2026-05-18,2026-05-20,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE000079X0000&processo.numero=1506758-33.2026.8.26.0446
1506715-81.2026.8.26.0451,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000558,Ação Penal - Procedimento Ordinário,Lesão Cometida em Razão da Condição de Mulher,2026-05-11,True,2026-05-07,2026-05-13,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000XX430000&processo.numero=1506715-81.2026.8.26.0451
1506567-85.2026.8.26.0446,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000595,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-18,False,2026-05-11,2026-05-14,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE000073Z0000&processo.numero=1506567-85.2026.8.26.0446
1500824-23.2026.8.26.0599,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000568,Ação Penal - Procedimento Ordinário,Ameaça,2026-05-05,True,,2026-05-08,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K8G0000&processo.numero=1500824-23.2026.8.26.0599
1506517-59.2026.8.26.0446,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000605,Ação Penal - Procedimento Ordinário,Furto,2026-05-13,True,2026-05-08,2026-05-11,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE000072J0000&processo.numero=1506517-59.2026.8.26.0446
1506686-31.2026.8.26.0451,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000573,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-13,True,2026-05-07,2026-05-11,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000XX0A0000&processo.numero=1506686-31.2026.8.26.0451
1506358-19.2026.8.26.0446,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000566,Ação Penal - Procedimento Ordinário,Lesão Cometida em Razão da Condição de Mulher,2026-05-05,False,2026-05-05,2026-05-07,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006XP0000&processo.numero=1506358-19.2026.8.26.0446
1506359-04.2026.8.26.0446,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000608,Ação Penal - Procedimento Ordinário,Crimes de Trânsito,2026-05-19,False,2026-05-14,2026-05-18,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006XQ0000&processo.numero=1506359-04.2026.8.26.0446
1506391-09.2026.8.26.0446,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000569,Ação Penal - Procedimento Ordinário,Crime de Descumprimento de Medida Protetiva  de Urgência,2026-05-05,False,2026-05-05,2026-05-06,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006YP0000&processo.numero=1506391-09.2026.8.26.0446
1506404-08.2026.8.26.0446,18º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/008279,Inquérito Policial,Receptação,2026-05-04,True,2026-05-21,2026-05-29,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006Z90000&processo.numero=1506404-08.2026.8.26.0446
1506410-15.2026.8.26.0446,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000679,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-26,True,2026-05-19,2026-05-22,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006ZG0000&processo.numero=1506410-15.2026.8.26.0446
1500818-16.2026.8.26.0599,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000556,Ação Penal - Procedimento Ordinário,Lesão Cometida em Razão da Condição de Mulher,2026-05-04,True,2026-05-06,2026-05-07,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K890000&processo.numero=1500818-16.2026.8.26.0599
1500819-98.2026.8.26.0599,17º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000630,Ação Penal - Procedimento Ordinário,Crimes de Trânsito,2026-05-15,True,2026-05-08,2026-05-11,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K8A0000&processo.numero=1500819-98.2026.8.26.0599
1506353-94.2026.8.26.0446,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000585,Ação Penal - Procedimento Ordinário,Favorecimento da prostituição ou outra forma de exploração sexual de vulnerável,2026-05-05,False,2026-05-05,2026-05-08,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006XK0000&processo.numero=1506353-94.2026.8.26.0446
1500800-92.2026.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000559,Ação Penal - Procedimento Ordinário,Lesão Cometida em Razão da Condição de Mulher,2026-05-04,True,2026-05-10,2026-05-13,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K7Q0000&processo.numero=1500800-92.2026.8.26.0599
1500801-77.2026.8.26.0599,17º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000636,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-18,True,2026-05-11,2026-05-14,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K7R0000&processo.numero=1500801-77.2026.8.26.0599
1500805-17.2026.8.26.0599,6º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/008219,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-04,False,2026-05-07,2026-05-08,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K7V0000&processo.numero=1500805-17.2026.8.26.0599
1500806-02.2026.8.26.0599,7º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/008215,Inquérito Policial,Furto,2026-05-04,False,2026-05-08,2026-05-11,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K7W0000&processo.numero=1500806-02.2026.8.26.0599
1500815-61.2026.8.26.0599,11º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/008275,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-04,False,2026-05-11,2026-05-13,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K860000&processo.numero=1500815-61.2026.8.26.0599
1506653-41.2026.8.26.0451,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000581,Termo Circunstanciado,Resistência,2026-05-08,False,,2026-05-11,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000XWU50000&processo.numero=1506653-41.2026.8.26.0451
1500791-33.2026.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000620,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-18,True,2026-05-08,2026-05-13,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K7F0000&processo.numero=1500791-33.2026.8.26.0599
1500793-03.2026.8.26.0599,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000532,Ação Penal - Procedimento Ordinário,Decorrente de Violência Doméstica,2026-05-04,True,2026-05-05,2026-05-06,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K7M0000&processo.numero=1500793-03.2026.8.26.0599
1500784-41.2026.8.26.0599,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000567,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-12,True,2026-05-04,2026-05-07,2026-05-29,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K780000&processo.numero=1500784-41.2026.8.26.0599
1506256-94.2026.8.26.0446,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000636,Inquérito Policial,Furto Qualificado,2026-05-28,True,2026-05-06,2026-05-11,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006UT0000&processo.numero=1506256-94.2026.8.26.0446
1506259-49.2026.8.26.0446,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000589,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2026-05-18,True,2026-05-07,2026-05-12,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006UW0000&processo.numero=1506259-49.2026.8.26.0446
1506193-69.2026.8.26.0446,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000573,Ação Penal - Procedimento Ordinário,"Crimes de ""Lavagem"" ou Ocultação de Bens, Direitos ou Valores",2026-05-13,True,2026-05-08,2026-05-11,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006T20000&processo.numero=1506193-69.2026.8.26.0446
1500770-57.2026.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000551,Ação Penal - Procedimento Ordinário,Lesão Cometida em Razão da Condição de Mulher,2026-04-30,False,2026-05-04,2026-05-04,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K6U0000&processo.numero=1500770-57.2026.8.26.0599
1506089-77.2026.8.26.0446,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000613,Ação Penal - Procedimento Ordinário,Furto Qualificado,2026-05-12,True,2026-05-07,2026-05-08,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006PS0000&processo.numero=1506089-77.2026.8.26.0446
1506106-16.2026.8.26.0446,10º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/007815,Auto de Prisão em Flagrante,Tráfico de Drogas e Condutas Afins,2026-04-28,True,2026-05-21,,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006QH0000&processo.numero=1506106-16.2026.8.26.0446
1506157-27.2026.8.26.0446,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000582,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2026-05-15,True,2026-05-07,2026-05-08,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006RX0000&processo.numero=1506157-27.2026.8.26.0446
1506019-60.2026.8.26.0446,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000538,Ação Penal - Procedimento Ordinário,Lesão Cometida em Razão da Condição de Mulher,2026-05-05,False,2026-04-28,2026-04-30,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006NS0000&processo.numero=1506019-60.2026.8.26.0446
1506044-73.2026.8.26.0446,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000576,Ação Penal - Procedimento Ordinário,Furto Qualificado,2026-05-07,True,2026-04-28,2026-05-05,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006OI0000&processo.numero=1506044-73.2026.8.26.0446
1506070-71.2026.8.26.0446,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000627,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-26,True,2026-05-19,2026-05-20,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006P90000&processo.numero=1506070-71.2026.8.26.0446
1500738-52.2026.8.26.0599,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000467,Ação Penal - Procedimento Ordinário,Crime de Descumprimento de Medida Protetiva  de Urgência,2026-04-27,True,2026-04-28,2026-04-30,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K5U0000&processo.numero=1500738-52.2026.8.26.0599
1505908-76.2026.8.26.0446,17º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000614,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-12,True,2026-04-29,2026-05-08,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006KD0000&processo.numero=1505908-76.2026.8.26.0446
1505917-38.2026.8.26.0446,11º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/007567,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-04-24,False,2026-05-21,2026-05-25,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006KM0000&processo.numero=1505917-38.2026.8.26.0446
0000315-43.2026.8.26.0446,9º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/007516,Inquérito Policial,Desacato,2026-04-23,False,,2026-05-12,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006J60000&processo.numero=0000315-43.2026.8.26.0446
1505883-63.2026.8.26.0446,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000552,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2026-04-30,True,2026-04-28,2026-04-29,2026-05-21,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006JO0000&processo.numero=1505883-63.2026.8.26.0446
1505895-77.2026.8.26.0446,6º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/007545,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-04-23,False,2026-05-12,2026-05-13,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006K00000&processo.numero=1505895-77.2026.8.26.0446
1505905-24.2026.8.26.0446,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000649,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-28,False,2026-04-30,2026-05-07,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006KA0000&processo.numero=1505905-24.2026.8.26.0446
1505787-48.2026.8.26.0446,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000591,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-11,True,2026-04-29,2026-05-06,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006GX0000&processo.numero=1505787-48.2026.8.26.0446
1505800-47.2026.8.26.0446,17º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000608,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-11,True,2026-04-30,2026-05-07,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006HA0000&processo.numero=1505800-47.2026.8.26.0446
1505722-53.2026.8.26.0446,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000554,Ação Penal - Procedimento Ordinário,Roubo,2026-05-08,True,2026-05-04,2026-05-07,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006EW0000&processo.numero=1505722-53.2026.8.26.0446
1500724-68.2026.8.26.0599,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000591,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-07,True,2026-04-29,2026-05-05,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K5D0000&processo.numero=1500724-68.2026.8.26.0599
1500726-38.2026.8.26.0599,11º Promotor de Justiça de Piracicaba,Juiz das Garantias - 4ª RAJ - Piracicaba,Vara Regional das Garantias da 4ª RAJ - Piracicaba,2026/007345,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-04-22,False,2026-05-19,2026-05-20,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K5F0000&processo.numero=1500726-38.2026.8.26.0599
1500728-08.2026.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000523,Inquérito Policial,Leve,2026-04-29,False,2026-04-23,2026-04-29,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K5I0000&processo.numero=1500728-08.2026.8.26.0599
1500713-39.2026.8.26.0599,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000576,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-13,False,2026-04-30,2026-05-08,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K520000&processo.numero=1500713-39.2026.8.26.0599
1500719-46.2026.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000480,Inquérito Policial,Decorrente de Violência Doméstica,2026-04-22,False,2026-04-23,2026-04-24,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K580000&processo.numero=1500719-46.2026.8.26.0599
1500685-71.2026.8.26.0599,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000575,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-07,True,2026-04-29,2026-05-05,2026-05-29,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K450000&processo.numero=1500685-71.2026.8.26.0599
1500690-93.2026.8.26.0599,10º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000448,Ação Penal - Procedimento Ordinário,Ameaça,2026-04-21,False,2026-04-27,2026-04-27,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004K4A0000&processo.numero=1500690-93.2026.8.26.0599
1505673-12.2026.8.26.0446,4º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000544,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-05-06,True,2026-04-24,2026-04-29,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00006DI0000&processo.numero=1505673-12.2026.8.26.0446
